index,mean,stderr
73,6.85937500000000089e-02,4.60394277359091331e-03
74,-9.76562500000000000e-02,2.79013095197459642e-03
75,5.73437499999999989e-02,3.92951405763698313e-03
76,-4.75000000000000006e-02,4.28174419288837680e-03
77,-5.68749999999999950e-02,4.07290334609927435e-03
78,5.48437499999999967e-02,4.62369773332628898e-03
79,-5.01562499999999994e-02,4.81679326895325007e-03
80,3.82812500000000028e-02,4.85583170656685766e-03
81,2.50000000000000000e-01,0.00000000000000000e+00
82,-1.26875000000000016e-01,4.37500000000000042e-03
83,-5.26562500000000017e-02,3.34997473560125041e-03
84,4.98437500000000061e-02,4.07909271723913298e-03
85,-1.04531250000000006e-01,3.54449947982786494e-03
86,6.09374999999999986e-02,4.17005070912413161e-03
87,4.49999999999999983e-02,3.87970144899492690e-03
88,-4.95312499999999989e-02,4.16595045927897062e-03
89,5.89062500000000003e-02,4.89455878799781741e-03
90,-5.35937500000000025e-02,4.80867678221705112e-03
91,2.50000000000000000e-01,0.00000000000000000e+00
92,3.10937499999999999e-02,3.77055995786213871e-03
93,-4.26562499999999997e-02,3.23931536941064096e-03
94,6.60937500000000067e-02,3.75672140691410156e-03
95,-1.04062500000000002e-01,3.85191375595733384e-03
96,-3.15625000000000003e-02,3.62194555223202281e-03
97,3.85937499999999961e-02,4.36587590247745558e-03
98,-5.89062500000000003e-02,5.76884931297683753e-03
99,5.79687500000000064e-02,5.89057664657431125e-03
100,2.50000000000000000e-01,0.00000000000000000e+00
101,-1.30312499999999998e-01,4.76464299991790317e-03
102,5.65625000000000017e-02,4.15127364993765104e-03
103,-3.89062500000000033e-02,3.66549756456518907e-03
104,-1.60156250000000000e-01,4.89189779763437010e-03
105,8.46874999999999989e-02,4.23203925430754978e-03
106,-5.37499999999999992e-02,4.73792324406660959e-03
107,4.12500000000000019e-02,4.23280836640009799e-03
108,2.50000000000000000e-01,0.00000000000000000e+00
109,-9.71874999999999961e-02,3.35313131018356251e-03
110,4.67187500000000033e-02,3.68498325131879018e-03
111,7.85937500000000178e-02,5.78237601646877826e-03
112,-1.26874999999999988e-01,5.06468574214300783e-03
113,5.90624999999999969e-02,5.03567998552992540e-03
114,-4.37499999999999972e-02,3.17050206329113314e-03
115,2.50000000000000000e-01,0.00000000000000000e+00
116,-1.23281249999999981e-01,3.73412438140902515e-03
117,-5.54687500000000042e-02,3.70963518815080632e-03
118,6.21874999999999997e-02,5.07175080716708651e-03
119,-1.22812500000000005e-01,4.54649017558233278e-03
120,7.12499999999999939e-02,2.92261298612502994e-03
121,2.50000000000000000e-01,0.00000000000000000e+00
122,3.65624999999999978e-02,4.44219235475757680e-03
123,-4.48437500000000017e-02,4.52118134221208504e-03
124,7.32812500000000061e-02,4.09343192148511632e-03
125,-1.52343750000000000e-01,4.17999171400693960e-03
126,2.50000000000000000e-01,0.00000000000000000e+00
127,-1.59531250000000013e-01,3.89456585888166328e-03
128,5.67187499999999983e-02,5.19273706528326599e-03
129,-4.82812499999999978e-02,5.12712735319041397e-03
130,2.50000000000000000e-01,0.00000000000000000e+00
131,-9.96874999999999983e-02,5.04084876285730305e-03
132,4.56249999999999989e-02,4.62387373674209758e-03
133,2.50000000000000000e-01,0.00000000000000000e+00
134,-1.53749999999999998e-01,2.82289744765905478e-03
135,2.50000000000000000e-01,0.00000000000000000e+00
